instrument_token,tradingsymbol,time,open,high,low,close,volume
256265,NIFTY 50,2015-04-13 13:20:00 UTC,8815.2,8818.95,8815.05,8818.45,0
256265,NIFTY 50,2015-04-13 13:21:00 UTC,8817.9,8819.65,8816.7,8817.65,0
256265,NIFTY 50,2015-04-13 13:22:00 UTC,8817.75,8818.15,8816,8816.9,0
256265,NIFTY 50,2015-04-13 13:23:00 UTC,8816.8,8817.35,8815.85,8815.85,0
256265,NIFTY 50,2015-04-13 13:24:00 UTC,8815.95,8816.8,8815.35,8816.2,0
256265,NIFTY 50,2015-04-13 13:25:00 UTC,8816.35,8817.4,8815.7,8816.7,0
256265,NIFTY 50,2015-04-13 13:26:00 UTC,8817.4,8817.6,8815.9,8817.3,0
256265,NIFTY 50,2015-04-13 13:27:00 UTC,8817.45,8818.4,8817.3,8817.9,0
256265,NIFTY 50,2015-04-13 13:28:00 UTC,8817.55,8818.35,8816.8,8817.45,0
256265,NIFTY 50,2015-04-13 13:29:00 UTC,8817.8,8817.8,8815.45,8815.7,0
256265,NIFTY 50,2015-04-13 13:30:00 UTC,8815.85,8817.35,8815.3,8816.2,0
256265,NIFTY 50,2015-04-13 13:31:00 UTC,8816.15,8817.5,8815.3,8816.75,0
256265,NIFTY 50,2015-04-13 13:32:00 UTC,8816.7,8819.65,8816.6,8817.9,0
256265,NIFTY 50,2015-04-13 13:33:00 UTC,8818.05,8820.05,8818,8818.55,0
256265,NIFTY 50,2015-04-13 13:34:00 UTC,8818.85,8818.85,8817.1,8817.65,0
256265,NIFTY 50,2015-04-13 13:35:00 UTC,8817.6,8818.85,8817.5,8817.8,0
256265,NIFTY 50,2015-04-13 13:36:00 UTC,8817.8,8818.4,8816.55,8817.3,0
256265,NIFTY 50,2015-04-13 13:37:00 UTC,8817,8818.5,8816.25,8817.35,0
256265,NIFTY 50,2015-04-13 13:38:00 UTC,8817.25,8817.55,8815.45,8817.15,0
256265,NIFTY 50,2015-04-13 13:39:00 UTC,8816.65,8818.05,8816.65,8816.75,0
256265,NIFTY 50,2015-04-13 13:40:00 UTC,8817.25,8817.5,8815.15,8815.2,0
