,symbol,time,open,high,low,close
173,NIFTY BANK,2015-04-13 12:08:00 UTC,18850.5,18853.45,18841.95,18853.45
174,NIFTY BANK,2015-04-13 12:09:00 UTC,18853.45,18853.45,18842.5,18842.5
175,NIFTY BANK,2015-04-13 12:10:00 UTC,18842.5,18849.15,18840.8,18849.15
176,NIFTY BANK,2015-04-13 12:11:00 UTC,18849.15,18856.15,18848.75,18851.65
177,NIFTY BANK,2015-04-13 12:12:00 UTC,18851.65,18852.55,18847.05,18848.95
178,NIFTY BANK,2015-04-13 12:13:00 UTC,18848.95,18855.4,18848.95,18855.4
179,NIFTY BANK,2015-04-13 12:14:00 UTC,18855.4,18858.65,18850.85,18855.8
180,NIFTY BANK,2015-04-13 12:15:00 UTC,18855.8,18859.4,18842.7,18859.4
181,NIFTY BANK,2015-04-13 12:16:00 UTC,18859.4,18877.75,18857,18875.95
182,NIFTY BANK,2015-04-13 12:17:00 UTC,18875.95,18878.65,18865.65,18867.1
183,NIFTY BANK,2015-04-13 12:18:00 UTC,18864.15,18876.75,18864.15,18876.75
184,NIFTY BANK,2015-04-13 12:19:00 UTC,18876.75,18876.75,18865.4,18867.55
185,NIFTY BANK,2015-04-13 12:20:00 UTC,18867.55,18869.7,18860.65,18863.7
186,NIFTY BANK,2015-04-13 12:21:00 UTC,18862.15,18862.2,18857.05,18859.7
187,NIFTY BANK,2015-04-13 12:22:00 UTC,18859.7,18868.05,18857.95,18862.7
188,NIFTY BANK,2015-04-13 12:23:00 UTC,18862.7,18868.8,18860.95,18867.45
189,NIFTY BANK,2015-04-13 12:24:00 UTC,18866.9,18870.25,18865.5,18866.05
190,NIFTY BANK,2015-04-13 12:25:00 UTC,18861.75,18866.35,18860.25,18864.2
191,NIFTY BANK,2015-04-13 12:26:00 UTC,18864.2,18871,18862.6,18871
192,NIFTY BANK,2015-04-13 12:27:00 UTC,18869.4,18872.1,18868.55,18869.5
193,NIFTY BANK,2015-04-13 12:28:00 UTC,18869.5,18872.5,18869.3,18871.8
